Group,Variable,Poss_Min,Poss_Max,Obs_Min,Obs_Max,N,Missing,Mean,SD,Floor_unused,Ceiling_unused
Agreement Likert (1-5),B1,1.0,5.0,1.0,5.0,32,0,3.75,1.14,False,False
Agreement Likert (1-5),B2,1.0,5.0,1.0,5.0,32,0,3.66,1.21,False,False
Agreement Likert (1-5),B3,1.0,5.0,1.0,5.0,32,0,3.81,0.97,False,False
Agreement Likert (1-5),B4,1.0,5.0,1.0,5.0,32,0,3.84,0.72,False,False
Agreement Likert (1-5),B5,1.0,5.0,1.0,5.0,32,0,4.03,1.09,False,False
Agreement Likert (1-5),B6,1.0,5.0,1.0,5.0,32,0,2.72,1.28,False,False
Agreement Likert (1-5),B7,1.0,5.0,1.0,5.0,32,0,3.91,0.86,False,False
Agreement Likert (1-5),B8,1.0,5.0,3.0,5.0,32,0,4.22,0.55,True,False
Agreement Likert (1-5),B9,1.0,5.0,3.0,5.0,32,0,4.28,0.58,True,False
Agreement Likert (1-5),B10,1.0,5.0,2.0,5.0,32,0,3.97,0.9,True,False
Agreement Likert (1-5),C1,1.0,5.0,1.0,5.0,32,0,3.66,1.26,False,False
Agreement Likert (1-5),C2,1.0,5.0,1.0,5.0,32,0,2.94,1.01,False,False
Agreement Likert (1-5),C3,1.0,5.0,1.0,5.0,32,0,2.34,0.97,False,False
Agreement Likert (1-5),C4,1.0,5.0,1.0,5.0,32,0,3.56,1.22,False,False
Agreement Likert (1-5),C5,1.0,5.0,2.0,5.0,32,0,3.97,0.9,True,False
Agreement Likert (1-5),C6,1.0,5.0,1.0,5.0,32,0,2.62,1.21,False,False
Agreement Likert (1-5),C7,1.0,5.0,1.0,5.0,32,0,3.78,1.16,False,False
Agreement Likert (1-5),C8,1.0,5.0,1.0,5.0,32,0,4.0,1.05,False,False
Agreement Likert (1-5),C9,1.0,5.0,1.0,5.0,32,0,3.0,1.27,False,False
Agreement Likert (1-5),C10,1.0,5.0,1.0,5.0,32,0,2.97,1.36,False,False
Agreement Likert (1-5),C11,1.0,5.0,1.0,5.0,32,0,2.94,1.16,False,False
Agreement Likert (1-5),C12,1.0,5.0,1.0,5.0,32,0,3.25,1.22,False,False
Agreement Likert (1-5),D4,1.0,5.0,2.0,5.0,32,0,4.0,0.98,True,False
Agreement Likert (1-5),D5,1.0,5.0,1.0,5.0,32,0,3.78,1.1,False,False
